title,year
Evil Dead II,1987
The Great Escape,1963
The Deer Hunter,1978
Diva,1981
Groundhog Day,1993
Unforgiven,1992
The Manchurian Candidate,1962
Pump up the Volume,1990
Arsenic and Old Lace,1944
Back to the Future,1985
Fried Green Tomatoes,1991
Patton,1970
Down by Law,1986
Akira,1988
Highlander,1986
Cool Hand Luke,1967
Cyrano de Bergerac,1990
Young Frankenstein,1974
Night on Earth,1991
Raise the Red Lantern,1991
The Great Dictator,1940
Fantasia,1940
High Noon,1952
The Big Sleep,1946
Heathers,1988
Somewhere in Time,1980
Ben-Hur,1959
This Is Spinal Tap,1984
Koyaanisqatsi,1982
Some Kind of Wonderful,1987
Indiana Jones and the Last Crusade,1989
Being There,1979
Gandhi,1982
The Unbearable Lightness of Being,1988
A Room with a View,1985
Real Genius,1985
Pink Floyd: The Wall,1982
The Killing Fields,1984
My Life as a Dog,1985
Forbidden Planet,1956
Field of Dreams,1989
The Man Who Would Be King,1975
Butch Cassidy and the Sundance Kid,1969
"Paris, Texas",1984
Until the End of the World,1991
When Harry Met Sally...,1989
I Shot a Man in Vegas,1996
Parallel Sons,1995
Hype!,1996
Santa with Muscles,1996
Female Perversions,1996
Mad Dog Time,1996
Breathing Room,1996
Paris Was a Woman,1996
I'm Not Rappaport,1996
Blue Juice,1995
Kids of Survival,1996
Alien³,1992
An American Werewolf in London,1981
Amityville: It's About Time,1992
Amityville 3-D,1983
Amityville: Dollhouse,1996
Amityville: A New Generation,1993
Amityville II: The Possession,1982
The Amityville Horror,1979
The Amityville Curse,1989
Blood for Dracula,1974
April Fool's Day,1986
Audrey Rose,1977
The Believers,1987
The Birds,1963
The Blob,1958
Blood Beach,1980
Body Parts,1991
The Body Snatcher,1945
Dracula,1992
Bride of Frankenstein,1935
Burnt Offerings,1976
Candyman,1992
Cape Fear,1991
Cape Fear,1962
Carrie,1976
Cat People,1982
A Nightmare on Elm Street,1984
Nosferatu,1922
Vampire in Venice,1988
The Omen,1976
Blood and Wine,1996
Albino Alligator,1996
The Mirror Has Two Faces,1996
Breaking the Waves,1996
Nightwatch,1997
Star Trek: First Contact,1996
Shine,1996
Sling Blade,1996
Jingle All the Way,1996
Identification of a Woman,1982
Paradise Lost: The Child Murders at Robin Hood Hills,1996
The Preacher's Wife,1996
Zero Kelvin,1995
Ridicule,1996
The Crucible,1996
101 Dalmatians,1996
The Forbidden Christ,1951
I Can't Sleep,1994
Die Hard 2,1990
Star Trek: The Motion Picture,1979
Star Trek VI: The Undiscovered Country,1991
Star Trek V: The Final Frontier,1989
Star Trek II: The Wrath of Khan,1982
Star Trek III: The Search for Spock,1984
Star Trek IV: The Voyage Home,1986
Batman Returns,1992
Young Guns,1988
Young Guns II,1990
Grease,1978
Grease 2,1982
Marked for Death,1990
Adrenalin: Fear the Rush,1996
The Substance of Fire,1996
Under Siege,1992
Terror in a Texas Town,1958
Jaws,1975
Jaws 2,1978
Jaws 3-D,1983
My Fellow Americans,1996
Mars Attacks!,1996
Citizen Ruth,1996
Jerry Maguire,1996
Raising Arizona,1987
Tin Men,1987
Sneakers,1992
Bastard Out of Carolina,1996
In Love and War,1996
Marvin's Room,1996
Somebody Is Waiting,1996
Ghosts of Mississippi,1996
Night Falls on Manhattan,1996
Beavis and Butt-Head Do America,1996
La Cérémonie,1995
Scream,1996
The Last of the Mohicans,1992
Michael,1996
The Evening Star,1996
Hamlet,1996
Some Mother's Son,1996
The Whole Wide World,1996
Mother,1996
Thieves,1996
Evita,1996
The Portrait of a Lady,1996
Walkabout,1971
Message to Love: The Isle of Wight Festival,1996
Murder at 1600,1997
Hearts and Minds,1995
Inside,1996
Fierce Creatures,1997
Zeus & Roxanne,1997
Turbulence,1997
Angel Baby,1995
First Strike,1996
Underworld,1996
Beverly Hills Ninja,1997
Metro,1997
The Machine,1994
Falling in Love Again,1980
The Cement Garden,1993
Dante's Peak,1997
Meet Wally Sparks,1997
Amos & Andrew,1993
Benny & Joon,1993
Prefontaine,1997
A Tickle in the Heart,1996
Guantanamera,1995
McHale's Navy,1997
Kolya,1996
Gridlock'd,1997
Fire on the Mountain,1996
Waiting for Guffman,1996
Prisoner of the Mountains,1996
The Beautician and the Beast,1997
SubUrbia,1996
Hotel de Love,1996
The Pest,1997
Fools Rush In,1997
Touch,1997
Absolute Power,1997
That Darn Cat,1997
Vegas Vacation,1997
Unforgotten: Twenty-Five Years After Willowbrook,1997
That Old Feeling,1997
Lost Highway,1997
Rosewood,1997
Donnie Brasco,1997
Salut cousin !,1996
Booty Call,1997
Rhyme & Reason,1997
Boys Life 2,1997
City of Industry,1997
Best Men,1997
Jungle 2 Jungle,1997
Kama Sutra - A Tale of Love,1996
Private Parts,1997
Love Jones,1997
The Saint,1997
Smilla's Sense of Snow,1997
The Van,1996
Crash,1996
The Daytrippers,1996
Liar Liar,1997
The Quiet Room,1996
Selena,1997
The Devil's Own,1997
Cats Don't Dance,1997
B.A.P.S.,1997
Love and Other Catastrophes,1996
Turbo: A Power Rangers Movie,1997
Anna Karenina,1997
Double Team,1997
Inventing the Abbotts,1997
Anaconda,1997
Grosse Pointe Blank,1997
Keys to Tulsa,1997
Kissed,1996
8 Heads in a Duffel Bag,1997
Hollow Reed,1996
Paradise Road,1997
Traveller,1997
All Over Me,1997
A Brother's Kiss,1997
A Chef in Love,1996
Romy and Michele's High School Reunion,1997
Temptress Moon,1996
Volcano,1997
Children of the Revolution,1996
Austin Powers: International Man of Mystery,1997
Breakdown,1997
Broken English,1996
Commandments,1997
Ripe,1996
"Truth or Consequences, N.M.",1997
The Turning,1992
Warriors of Virtue,1997
Fathers' Day,1997
The Fifth Element,1997
Intimate Relations,1996
Nowhere,1997
Losing Chase,1996
Sprung,1997
The Promise,1995
Le Bonheur,1965
Love! Valour! Compassion!,1997
Shall We Dance?,1996
The Second Jungle Book: Mowgli & Baloo,1997
Twin Town,1997
Addicted to Love,1997
Brassed Off,1996
The Designated Mourner,1997
The Lost World: Jurassic Park,1997
Ponette,1996
Schizopolis,1996
Shiloh,1996
The War at Home,1996
Rough Magic,1995
Trial and Error,1997
Buddy,1997
Con Air,1997
Late Bloomers,1996
The Pillow Book,1996
To Have (Or Not),1995
Speed 2: Cruise Control,1997
Squeeze,1997
Sudden Manhattan,1996
The Next Step,1997
Wedding Bell Blues,1996
Batman & Robin,1997
Dream with the Fishes,1997
Roseanna's Grave,1997
Head Above Water,1996
Hercules,1997
The Last Time I Committed Suicide,1997
MURDER and murder,1996
My Best Friend's Wedding,1997
Tetsuo II: Body Hammer,1992
When the Cat's Away,1996
Contempt,1963
Face/Off,1997
Fall,1997
Gabbeh,1996
Mondo,1995
The Innocent Sleep,1996
For Ever Mozart,1996
Men in Black,1997
Out to Sea,1997
Wild America,1997
A Simple Wish,1997
Contact,1997
Love Serenade,1996
G.I. Jane,1997
Conan the Barbarian,1982
George of the Jungle,1997
Cop Land,1997
Event Horizon,1997
Spawn,1997
Air Bud,1997
Picture Perfect,1997
In the Company of Men,1997
Free Willy 3: The Rescue,1997
Career Girls,1997
Conspiracy Theory,1997
Desperate Measures,1998
Steel,1997
She's So Lovely,1997
Hoodlum,1997
Leave it to Beaver,1997
Mimic,1997
Money Talks,1997
Excess Baggage,1997
Kull the Conqueror,1997
Air Force One,1997
One Eight Seven,1997
The Hunt for Red October,1990
My Own Private Idaho,1991
"Kiss Me, Guido",1997
Star Maps,1997
In & Out,1997
The Edge,1997
The Peacemaker,1997
L.A. Confidential,1997
Seven Years in Tibet,1997
Kiss the Girls,1997
Soul Food,1997
Kicked in the Head,1997
Wishmaster,1997
A Thousand Acres,1997
The Game,1997
Fire Down Below,1997
U Turn,1997
The Locusts,1997
The Matchmaker,1997
The Assignment,1997
A Smile Like Yours,1997
Ulee's Gold,1997
The Ice Storm,1997
Stag,1997
Chasing Amy,1997
Def Jam's How to Be a Player,1997
The Full Monty,1997
Alive and Kicking,1996
Mrs Brown,1997
I Know What You Did Last Summer,1997
The Devil's Advocate,1997
RocketMan,1997
Playing God,1997
The House of Yes,1997
"Fast, Cheap & Out of Control",1997
Washington Square,1997
Telling Lies In America,1997
Year of the Horse,1997
Gattaca,1997
FairyTale: A True Story,1997
Phantoms,1998
Swept from the Sea,1998
Wonderland,1997
A Life Less Ordinary,1997
Hurricane Streets,1997
Eve's Bayou,1997
Switchback,1997
Gang Related,1997
Stripes,1981
Nenette and Boni,1997
Bean,1997
Hugo Pool,1997
Mad City,1997
One Night Stand,1997
The Tango Lesson,1997
Welcome to Sarajevo,1997
Deceiver,1997
The Rainmaker,1997
Boogie Nights,1997
Witness,1985
Incognito,1997
Starship Troopers,1997
Critical Care,1997
The Joy Luck Club,1993
Chairman of the Board,1998
Sliding Doors,1998
Mortal Kombat: Annihilation,1997
The Truman Show,1998
The Wings of the Dove,1997
Mrs. Dalloway,1997
"I Love You, I Love You Not",1996
Red Corner,1997
The Jackal,1997
Anastasia,1997
The Man Who Knew Too Little,1997
Alien: Resurrection,1997
Alien Escape,1996
Amistad,1997
The Apostle,1997
Artemisia,1997
Bent,1997
Bang,1995
The Boys,1997
The Butcher Boy,1997
Deconstructing Harry,1997
Flubber,1997
For Richer or Poorer,1997
Good Will Hunting,1997
Guy,1997
Tar,1997
Home Alone 3,1997
Ill Gotten Gains,1997
Man of Her Dreams,1997
Midnight in the Garden of Good and Evil,1997
MouseHunt,1997
Never Met Picasso,1996
Office Killer,1997
Other Voices Other Rooms,1995
Scream 2,1997
Stranger in the House,1997
The Sweet Hereafter,1997
Time Tracers,1997
Titanic,1997
Tomorrow Never Dies,1997
Twisted,1996
Full Speed,1996
The Education of Little Tree,1997
The Postman,1997
The Horse Whisperer,1998
The Winter Guest,1997
Jackie Brown,1997
Kundun,1997
Mr. Magoo,1997
The Big Lebowski,1998
Afterglow,1997
My Life in Pink,1997
Great Expectations,1998
3 Ninjas: High Noon at Mega Mountain,1998
Men of Means,1999
Caught Up,1998
Arguing the World,1998
Firestorm,1998
Senseless,1998
Wag the Dog,1997
Dark City,1998
The Leading Man,1996
Star Kid,1997
Hard Rain,1998
Half Baked,1998
Fallen,1998
Shooting Fish,1997
The Prophecy II,1998
Fallen Angels,1995
Four Days in September,1997
Spice World,1997
Deep Rising,1998
Tainted,1998
A Letter from Death Row,1998
Music from Another Room,1998
Mother and Son,1997
The Replacement Killers,1998
B. Monkey,1998
The Night Flier,1997
Blues Brothers 2000,1998
Tokyo Fist,1995
Ride,1998
The Wedding Singer,1998
Sphere,1998
Ayn Rand: A Sense of Life,1998
A Further Gesture,1997
Little City,1997
Palmetto,1998
As Good as It Gets,1997
King of New York,1990
A Paralyzing Fear: The Story of Polio in America,1998
Men with Guns,1998
Twilight,1998
U.S. Marshals,1998
Welcome to Woop Woop,1998
Love and Death on Long Island,1997
Midaq Alley,1995
In God's Hands,1998
Everest,1998
Hush,1998
Suicide Kings,1997
The Man in the Iron Mask,1998
The Newton Boys,1998
Wild Things,1998
Paulie,1998
"A Cool, Dry Place",1998
Fireworks,1997
Primary Colors,1998
"Niagara, Niagara",1997
Wide Awake,1998
A Price Above Rubies,1998
Eden,1996
Two Girls and a Guy,1997
No Looking Back,1998
Storefront Hitchcock,1998
The Proposition,1998
The Object of My Affection,1998
Meet the Deedles,1998
Homegrown,1998
The Players Club,1998
Barney's Great Adventure,1998
The Big One,1997
Chinese Box,1997
Lost in Space,1998
Heaven's Burning,1997
Mercury Rising,1998
The Spanish Prisoner,1997
City of Angels,1998
The Last Days of Disco,1998
The Odd Couple II,1998
My Giant,1998
He Got Game,1998
The Gingerbread Man,1998
Illtown,1996
Slappy and the Stinkers,1998
Live Flesh,1997
Zero Effect,1998
Nil by Mouth,1997
Ratchet,1996
The Borrowers,1997
Prince Valiant,1997
"I Love You, Don't Touch Me!",1997
Leather Jacket Love Story,1998
Love Walked In,1997
"An Alan Smithee Film: Burn, Hollywood, Burn",1998
Kissing a Fool,1998
Krippendorf's Tribe,1998
Kurt & Courtney,1998
The Real Blonde,1997
Mr. Nice Guy,1997
Taste of Cherry,1997
Character,1997
Junk Mail,1997
Species II,1998
Major League: Back to the Minors,1998
Sour Grapes,1998
Wild Man Blues,1997
The Big Hit,1998
Tarzan and the Lost City,1998
Black Dog,1998
"Dancer, Texas Pop. 81",1998
A Friend of the Deceased,1997
Go Now,1995
Les Misérables,1998
Still Breathing,1997
Clockwatchers,1997
Deep Impact,1998
Little Men,1998
Woo,1998
The Hanging Garden,1997
Lawn Dogs,1997
Quest for Camelot,1998
Godzilla,1998
Bulworth,1998
Fear and Loathing in Las Vegas,1998
The Opposite of Sex,1998
I Got the Hook Up,1998
Almost Heroes,1998
Hope Floats,1998
Insomnia,1997
Little Boy Blue,1997
The Ugly,1997
A Perfect Murder,1998
Beyond Silence,1996
Six Days Seven Nights,1998
Can't Hardly Wait,1998
Cousin Bette,1998
High Art,1998
The Land Girls,1998
Passion in the Desert,1997
Children of Heaven,1997
Dear Jesse,1998
Dream for an Insomniac,1996
Hav Plenty,1997
Henry Fool,1997
Marie from the Bay of Angels,1998
Mr. Jealousy,1997
Mulan,1998
Resurrection Man,1998
The X Files,1998
I Went Down,1997
Doctor Dolittle,1998
Out of Sight,1998
Picnic at Hanging Rock,1975
Smoke Signals,1998
Voyage to the Beginning of the World,1997
Buffalo '66,1998
Armageddon,1998
Lethal Weapon 4,1998
Madeline,1998
Small Soldiers,1998
Pi,1998
Whatever,1998
There's Something About Mary,1998
Plan 9 from Outer Space,1959
Wings,1927
The Broadway Melody,1929
All Quiet on the Western Front,1930
Cimarron,1931
Grand Hotel,1932
Cavalcade,1933
Mutiny on the Bounty,1935
The Great Ziegfeld,1936
The Life of Emile Zola,1937
You Can't Take It With You,1938
How Green Was My Valley,1941
Mrs. Miniver,1942
Going My Way,1944
The Lost Weekend,1945
The Best Years of Our Lives,1946
Gentleman's Agreement,1947
Hamlet,1948
All the King's Men,1949
The Greatest Show on Earth,1952
From Here to Eternity,1953
On the Waterfront,1954
Marty,1955
West Side Story,1961
Tom Jones,1963
A Man for All Seasons,1966
In the Heat of the Night,1967
Oliver!,1968
Midnight Cowboy,1969
The French Connection,1971
Rocky,1976
Kramer vs. Kramer,1979
Ordinary People,1980
Chariots of Fire,1981
Terms of Endearment,1983
Out of Africa,1985
The Last Emperor,1987
Rain Man,1988
Driving Miss Daisy,1989
Take the Money and Run,1969
Klute,1971
Repo Man,1984
Metropolitan,1990
Labyrinth,1986
The Breakfast Club,1985
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985
A Nightmare on Elm Street 3: Dream Warriors,1987
A Nightmare on Elm Street 4: The Dream Master,1988
A Nightmare on Elm Street 5: The Dream Child,1989
Freddy's Dead: The Final Nightmare,1991
Friday the 13th,1980
Friday the 13th Part 2,1981
Friday the 13th Part III,1982
Friday the 13th: The Final Chapter,1984
Friday the 13th: A New Beginning,1985
Friday the 13th Part VI: Jason Lives,1986
Friday the 13th Part VII: The New Blood,1988
Friday the 13th Part VIII: Jason Takes Manhattan,1989
Halloween,1978
Halloween II,1981
Halloween III: Season of the Witch,1982
Halloween 4: The Return of Michael Myers,1988
Halloween 5: The Revenge of Michael Myers,1989
Prom Night,1980
Hello Mary Lou: Prom Night II,1987
Prom Night III: The Last Kiss,1990
Prom Night IV: Deliver Us from Evil,1992
Child's Play,1988
Child's Play 2,1990
Child's Play 3,1991
Poltergeist,1982
Poltergeist II: The Other Side,1986
Poltergeist III,1988
The Exorcist,1973
Exorcist II: The Heretic,1977
The Exorcist III,1990
Lethal Weapon,1987
Lethal Weapon 2,1989
Lethal Weapon 3,1992
Gremlins,1984
Gremlins 2: The New Batch,1990
The Goonies,1985
The Mask of Zorro,1998
Polish Wedding,1998
"This World, Then the Fireworks",1997
Soylent Green,1973
Metropolis,1927
Back to the Future Part II,1989
Back to the Future Part III,1990
The Poseidon Adventure,1972
Freaky Friday,1976
The Absent-Minded Professor,1961
The Apple Dumpling Gang Rides Again,1979
Babes in Toyland,1961
Bambi,1942
Seven Samurai,1954
Dangerous Liaisons,1988
Dune,1984
The Last Temptation of Christ,1988
The Godfather: Part III,1990
The Rapture,1991
Lolita,1997
Disturbing Behavior,1998
Jane Austen's Mafia!,1998
Saving Private Ryan,1998
Billy's Hollywood Screen Kiss,1998
East Palace West Palace,1996
The Million Dollar Duck,1971
The Barefoot Executive,1971
The Black Cauldron,1985
The Black Hole,1979
Blackbeard's Ghost,1968
Blank Check,1994
Candleshoe,1977
The Cat from Outer Space,1978
Cheetah,1989
The Computer Wore Tennis Shoes,1969
Condorman,1981
D2: The Mighty Ducks,1994
Darby O'Gill and the Little People,1959
The Devil and Max Devlin,1981
A Far Off Place,1993
Flight of the Navigator,1986
The Gnome-Mobile,1967
The Great Mouse Detective,1986
The Happiest Millionaire,1967
Herbie Goes Bananas,1980
Herbie Goes To Monte Carlo,1977
Hocus Pocus,1993
Honey I Blew Up the Kid,1992
"Honey, I Shrunk the Kids",1989
Hot Lead & Cold Feet,1978
In Search of the Castaways,1962
The Incredible Journey,1963
The Negotiator,1998
The Parent Trap,1998
BASEketball,1998
Full Tilt Boogie,1997
The Governess,1998
Seventh Heaven,1997
Roger & Me,1989
The Purple Rose of Cairo,1985
Out of the Past,1947
Doctor Zhivago,1965
Fanny & Alexander,1982
The Trip to Bountiful,1985
Tender Mercies,1983
And the Band Played On,1993
The 'Burbs,1989
Fandango,1985
The Night Porter,1974
Mephisto,1981
Blue Velvet,1986
The Journey of Natty Gann,1985
The Jungle Book,1967
Kidnapped,1960
Lady and the Tramp,1955
The Little Mermaid,1989
The Mighty Ducks,1992
The Muppet Christmas Carol,1992
Newsies,1992
One Hundred and One Dalmatians,1961
One Magic Christmas,1985
Peter Pan,1953
Popeye,1980
The Rescuers Down Under,1990
The Rescuers,1977
Return from Witch Mountain,1978
The Return of Jafar,1994
Return to Oz,1985
The Rocketeer,1991
The Shaggy D.A.,1976
Sleeping Beauty,1959
Something Wicked This Way Comes,1983
Son of Flubber,1963
Song of the South,1946
Splash,1984
Squanto: A Warrior's Tale,1994
Steamboat Willie,1928
Tall Tale,1995
Tex,1982
Tron,1982
Swing Kids,1993
Halloween: H20,1998
L.A. Story,1991
The Jerk,1979
Dead Men Don't Wear Plaid,1982
The Man with Two Brains,1983
Grand Canyon,1991
Graveyard Shift,1990
The Outsiders,1983
Indiana Jones and the Temple of Doom,1984
The Lord of the Rings,1978
Nineteen Eighty-Four,1984
The Dead Zone,1983
Maximum Overdrive,1986
Needful Things,1993
Cujo,1983
Children of the Corn,1984
All Dogs Go to Heaven,1989
The Addams Family,1991
Ever After: A Cinderella Story,1998
Snake Eyes,1998
"First Love, Last Rites",1998
Safe Men,1998
The Saltmen of Tibet,1997
Atlantic City,1980
Autumn Sonata,1978
Who's Afraid of Virginia Woolf?,1966
Adventures in Babysitting,1987
Weird Science,1985
Doctor Dolittle,1967
The Nutty Professor,1963
Charlotte's Web,1973
Watership Down,1978
The Secret of NIMH,1982
The Dark Crystal,1982
An American Tail,1986
An American Tail: Fievel Goes West,1991
Legend,1985
Sixteen Candles,1984
Pretty in Pink,1986
St. Elmo's Fire,1985
The Clan of the Cave Bear,1986
House,1986
House II: The Second Story,1987
The Gods Must Be Crazy,1980
The Gods Must Be Crazy II,1989
Air Bud: Golden Receiver,1998
The Avengers,1998
How Stella Got Her Groove Back,1998
Slums of Beverly Hills,1998
The Best Man,1997
The Chambermaid on the Titanic,1997
"Henry II, Portrait of a Serial Killer",1996
Henry: Portrait of a Serial Killer,1986
Rosemary's Baby,1968
The NeverEnding Story,1984
The Neverending Story II: The Next Chapter,1990
Attack of the Killer Tomatoes!,1978
Surf Nazis Must Die,1987
Your Friends & Neighbors,1998
Return to Paradise,1998
Blade,1998
Dance with Me,1998
Dead Man on Campus,1998
Wrongfully Accused,1998
Next Stop Wonderland,1998
All I Wanna Do,1998
The Navigator: A Medieval Odyssey,1988
Beetlejuice,1988
Déjà Vu,1998
Rope,1948
Family Plot,1976
Frenzy,1972
Topaz,1969
Torn Curtain,1966
Marnie,1964
The Wrong Man,1956
The Man Who Knew Too Much,1956
The Trouble with Harry,1955
I Confess,1953
Strangers on a Train,1951
